date | value
2009-01-01 | 1
2011-01-03 | 3
2011-04-31 | 1
2012-01-11 | -1
2011-01-03 | 2
2001-42-42
2013-04-15 | 2147483648
2011-01-03 | 1
2011-01-03 | 1000.001
2011-01-03 | -0.001
2011-01-03 | 1.2
2011-01-03 | 12abc
2011-01-03 | 1.2.3
2012-01-12 | 1
2011-01-03 | 1e309
2011-01-03 | 0
2011-01-03 | nan
2011-01-03 | inf
2011-01-03 | 0.5
2011-01-03 |
| 3
2011-01-03 | 999.999
2011-01-03
2011-01-03 , 3
2011-01-03 | 1000
2011-01-03 | 3 | 4
2011-1-03 | 1
2012-02-29 | 1
2011/01/03 | 1
2011-01-09 | 1
2011-00-03 | 1
2011-13-03 | 1
2022-03-29 | 1
2011-01-00 | 1
2011-01-32 | 1
2022-03-30 | 1
2011-02-29 | 1
1900-02-29 | 1
9999-12-31 | 1
2000-02-29 | 1
2012-02-30 | 1
2011-01-03 | 2
